1,30.83,0,1.25,1,1,1,0,202,0
0,58.67,4.46,3.04,1,1,6,0,43,560
0,24.5,0.5,1.5,1,0,0,0,280,824
1,27.83,1.54,3.75,1,1,5,1,100,3
1,20.17,5625,1.71,1,0,0,0,120,0
1,32.08,4,2.5,1,0,0,1,360,0
1,33.17,1.04,6.5,1,0,0,1,164,31285
0,22.92,11585,0.04,1,0,0,0,80,1349
1,54.42,0.5,3.96,1,0,0,0,180,314
1,42.5,4915,3165,1,0,0,1,52,1442
1,22.08,0.83,2165,0,0,0,1,128,0
1,29.92,1835,4335,1,0,0,0,260,200
0,38.25,6,1,1,0,0,1,0,0
1,48.08,6.04,0.04,0,0,0,0,0,2690
0,45.83,10.5,5,1,1,7,1,0,0
1,36.67,4415,0.25,1,1,10,1,320,0
1,28.25,875,0.96,1,1,3,1,396,0
0,23.25,5875,3.17,1,1,10,0,120,245
1,21.83,0.25,665,1,0,0,1,0,0
0,19.17,8585,0.75,1,1,7,0,96,0
1,25,11.25,2.5,1,1,17,0,200,1208
1,23.25,1,835,1,0,0,0,300,0
0,47.75,8,7875,1,1,6,1,0,1260
0,27.42,14.5,3085,1,1,1,0,120,11
0,41.17,6.5,0.5,1,1,3,1,145,0
0,15.83,585,1.5,1,1,2,0,100,0
0,47,13,5165,1,1,9,1,0,0
1,56.58,18.5,15,1,1,17,1,0,0
1,57.42,8.5,7,1,1,3,0,0,0
1,42.08,1.04,5,1,1,6,1,500,10000
1,29.25,14.79,5.04,1,1,5,1,168,0
1,42,9.79,7.96,1,1,8,0,0,0
1,49.5,7585,7585,1,1,15,1,0,5000
0,36.75,5125,5,1,0,0,1,0,4000
0,22.58,10.75,415,1,1,5,1,0,560
1,27.83,1.5,2,1,1,11,1,434,35
1,27.25,1585,1835,1,1,12,1,583,713
0,23,11.75,0.5,1,1,2,1,300,551
1,27.75,585,0.25,1,1,2,0,260,500
1,54.58,9415,14415,1,1,11,1,30,300
1,34.17,9.17,4.5,1,1,12,1,0,221
1,28.92,15,5335,1,1,11,0,0,2283
1,29.67,1415,0.75,1,1,1,0,240,100
1,39.58,13915,8625,1,1,6,1,70,0
1,56.42,28,28.5,1,1,40,0,0,15
1,54.33,6.75,2625,1,1,11,1,0,284
0,41,2.04,125,1,1,23,1,455,1236
1,31.92,4.46,6.04,1,1,3,0,311,300
1,41.5,1.54,3.5,0,0,0,0,216,0
1,23.92,665,165,0,0,0,0,100,0
0,25.75,0.5,875,1,0,0,1,491,0
1,26,1,1.75,1,0,0,1,280,0
1,37.42,2.04,0.04,1,0,0,1,400,5800
1,34.92,2.5,0,1,0,0,1,239,200
1,34.25,3,7415,1,0,0,1,0,0
1,23.33,11625,835,1,0,0,1,160,300
1,23.17,0,85,1,0,0,0,0,0
1,44.33,0.5,5,1,0,0,1,320,0
1,35.17,4.5,5.75,0,0,0,1,711,0
1,43.25,3,6,1,1,11,0,80,0
1,56.75,12.25,1.25,1,1,4,1,200,0
1,31.67,16165,3,1,1,9,0,250,730
0,23.42,0.79,1.5,1,1,2,1,80,400
0,20.42,835,1585,1,1,1,0,0,0
1,26.67,4.25,4.29,1,1,1,1,120,0
1,34.17,1.54,1.54,1,1,1,1,520,50000
0,36,1,2,1,1,11,0,0,456
